original,augmented,method
"In the moonlight, no one has closed from the cycle of hugs.","In the moonlight, no one has closed the cycle of hugs.",back_translation
... a mostly boring case with a sudden confusing ending that is likely to irk viewers.,...a mostly boring case with a sudden confused ending that is likely to be vulgar.,back_translation
"God is great, the film is not.","God is great, the film is not.",back_translation
"... a dark film, almost totally unrelieved by any comedy beyond the daily irony of the poor workers.","... a dark film, almost totally unrelieved by any comedy beyond the daily irony of the poor workers.",back_translation
"If you don't do... well, jump to another exam.","If you don't... well, move on to another exam.",back_translation
"with his suspicion of a clumsy hichcockian theme in tact, the narrative of intimidating harmon favours a reasonable landscape of conflict and pathos to support the terrifying tone scattered","with his suspicion of a clumsy Hichcockian theme in tact, the narrative of an intimidating harmonising promotes a reasonable landscape of conflict and pathos to support the terrifying scattering tone",back_translation
"a '`o bruin, where are you?''","""O bruin, where are you?""",back_translation
He'll break your heart several times as much.,He'll break your heart several times more.,back_translation
"a bad writing, the preaching fable that forgets to deploy a coherent and credible history in its zeal to spread propaganda.","bad writing, the preaching fable that forgets to deploy a coherent and credible history in its zeal to spread propaganda.",back_translation
"about a boy remembers strongly the cary agreement of place for one more, houseboat and father goose in his loving representation of the sweet war between a reticent, irresponsible man and the child who clings to him.","About a boy strongly remembers the cary agreement of place for one more, houseboat and father of goose in his loving representation of the sweet war between a reticent, irresponsible man and the child who clings to him.",back_translation
"Maybe it's not the last tango in Paris, but...","Maybe it's not the last tango in Paris, but...",back_translation
... offers a few moments of inspiration in the middle of Borgne animation and simplistic history.,... offers a few moments of inspiration in the midst of Borgne's simplistic animation and history.,back_translation
He tells his story in a flat way and leaves you with the impression that you should have gotten out of it more than you did.,He tells his story in a flat way and leaves you with the impression that you should have gotten out of it more than you did.,back_translation
